actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
3.4559513e-08,9.305729e-11,3528.098,-0.00052059296,1.834188e-10,0.028745377,12.539456,17.40084,17.390959,1.6873238,126.04204,16.592691,126.00401,1.0,-0.16775414,-1.0,5000,0.83750397,1000,1000.0,1000,5,0.0,2020.2290151482448,1448.5090609044769,1265.5273483856581,5,287.1596816943983,4.243009,-0.11067758,-3.951068,20000,1.1308395,1000,1000.0,1000,20,0.0,1761.6691353386268,1457.4346861979488,1115.5772289677989,20,234.3294426014012,651.0,158.20721435546875,20000.0,32.0,5071.760810136795,640000.0,126.41648537634251,640000.0
3.152571e-08,7.6771034e-11,3501.3608,0.0008420439,1.7543467e-10,0.027168844,12.534625,17.389599,17.379528,1.6909051,127.38528,20.809155,127.32328,1.0,-0.07113793,-1.0,5000,0.8620038,1000,1000.0,1000,5,0.0,2015.5773977469653,1873.8092240167782,1375.2657706290483,5,250.48132388526722,4.2585707,-0.13039286,-4.304085,20000,1.1339254,1000,1000.0,1000,20,0.0,1706.0863977358094,1460.9626649733254,1220.5061831846833,20,192.98364852761435,671.0,158.55118203163147,20000.0,33.0,5230.499195098877,660000.0,126.1422320775252,660000.0
3.0128813e-08,6.619693e-11,3459.8965,0.0018667885,1.7483359e-10,0.025812382,12.526683,17.377073,17.36679,1.7181265,128.33458,23.975164,128.26111,1.0,-0.08707606,-1.0,5000,0.86310244,1000,1000.0,1000,5,0.0,2109.5944060385227,1829.4709789637243,1415.2362251318991,5,336.5144689501436,4.4031606,-0.09362617,-4.2546463,20000,1.134028,1000,1000.0,1000,20,0.0,1728.6487559373782,1503.3172208288931,1224.6560225002468,20,186.20956137984447,691.0,159.13541102409363,20000.0,34.0,5389.791310071945,680000.0,125.67912993904251,680000.0
2.9355974e-08,6.118631e-11,3401.7087,0.0028187623,1.736615e-10,0.024394909,12.525056,17.377762,17.367283,1.7284608,129.81366,24.525452,129.72389,1.0,-0.0461404,-1.0,5000,0.87551045,1000,1000.0,1000,5,0.0,2133.2275020340458,1953.7722988984547,1358.786584070418,5,298.1214281760867,4.748851,-0.09727495,-4.5370984,20000,1.1337658,1000,1000.0,1000,20,0.0,1791.4225722180272,1524.8558745592004,1246.469484705478,20,197.844381894041,711.0,159.81346726417542,20000.0,35.0,5549.766761302948,700000.0,125.14589879299427,700000.0
2.8882639e-08,5.6517502e-11,3333.553,0.0032161248,1.7454366e-10,0.0234523,12.524689,17.370684,17.359833,1.6657082,130.7672,17.587645,130.70853,1.0,-0.07485238,-1.0,5000,0.87170273,1000,1000.0,1000,5,0.0,2121.9054232066264,1762.6693671630928,1355.1428428883664,5,323.9058422988497,4.3118706,-0.09979854,-4.1169276,20000,1.1370311,1000,1000.0,1000,20,0.0,1745.513335811891,1475.9660316541856,1250.18731764704,20,188.3958712000728,731.0,159.18686366081238,20000.0,36.0,5709.116498470306,720000.0,125.63850772646056,720000.0
2.8824134e-08,5.3246775e-11,3259.0347,0.0035081208,1.773463e-10,0.022564158,12.518403,17.358517,17.347462,1.6639466,131.58908,16.725174,131.55333,1.0,-0.07812104,-1.0,5000,0.8566096,1000,1000.0,1000,5,0.0,2127.6083052475005,1811.1886031528004,1386.8898791130632,5,328.0995245848105,4.3403854,-0.07011113,-4.4207954,20000,1.1409199,1000,1000.0,1000,20,0.0,1783.5489871297032,1540.7206247813824,1169.2194732301868,20,208.55090728431406,751.0,159.27982902526855,20000.0,37.0,5868.644697189331,740000.0,125.5651774765978,740000.0
2.9015032e-08,4.844602e-11,3172.7083,0.0039147106,1.8367426e-10,0.021466954,12.512417,17.349371,17.338171,1.7048787,132.65721,23.937271,132.5824,1.0,-0.104114786,-1.0,5000,0.8543326,1000,1000.0,1000,5,0.0,2097.17511472106,1701.7827781974106,1415.4509445279837,5,319.3593662626148,4.5123844,-0.07105222,-4.2030663,20000,1.1412733,1000,1000.0,1000,20,0.0,1861.1588122472167,1584.5451330344208,1187.0118649434298,20,214.61490157187467,771.0,159.1852765083313,20000.0,38.0,6027.989809513092,760000.0,125.63976040179355,760000.0
2.9517821e-08,4.2262662e-11,3079.21,0.0040080077,1.938799e-10,0.020625671,12.507927,17.335386,17.323984,1.8024149,133.79932,38.727306,133.6478,1.0,-0.08494929,-1.0,5000,0.859021,1000,1000.0,1000,5,0.0,2201.3168996213935,1872.9183278605342,1426.9516874980181,5,351.4380585243395,4.194672,-0.12051897,-4.0245495,20000,1.138321,1000,1000.0,1000,20,0.0,1819.663638105616,1466.0325192559321,1212.6229260526597,20,216.05410639160866,791.0,159.53583359718323,20000.0,39.0,6187.692037820816,780000.0,125.36368506713417,780000.0
3.06059e-08,3.636371e-11,2981.3154,0.0039663776,2.0848347e-10,0.019884145,12.502078,17.327837,17.316269,1.8083713,134.87625,34.318275,134.72377,1.0,-0.1585138,-1.0,5000,0.8502006,1000,1000.0,1000,5,0.0,2180.3019436774775,1616.5772773891688,1417.0168823129497,5,284.98118321414296,4.456657,-0.07570352,-4.2204094,20000,1.142497,1000,1000.0,1000,20,0.0,1839.8650580141693,1546.3643088520184,1225.0228952970356,20,224.2944055387371,811.0,159.11266541481018,20000.0,40.0,6346.9675352573395,800000.0,125.69709612908291,800000.0
3.2898797e-08,2.9834905e-11,2880.0745,0.004013527,2.333555e-10,0.019027067,12.4985285,17.321455,17.309736,1.7666116,136.1094,29.82875,136.00156,1.0,-0.10440891,-1.0,5000,0.87611955,1000,1000.0,1000,5,0.0,2146.811223881319,1715.6770294854882,1410.9073498821817,5,341.04980327788996,4.667248,-0.036966052,-4.474309,20000,1.1428016,1000,1000.0,1000,20,0.0,1781.8431131727993,1606.4702018377488,1189.7809217199683,20,174.08018403783785,831.0,158.60844087600708,20000.0,41.0,6505.735368013382,820000.0,126.09669377958956,820000.0
3.778927e-08,1.6552239e-11,2778.5725,0.0038800025,2.8576191e-10,0.018348575,12.5018425,17.308758,17.296759,1.7985044,136.75764,36.65663,136.5912,1.0,-0.06957902,-1.0,5000,0.8852523,1000,1000.0,1000,5,0.0,2122.459517357871,1800.2579900780693,1364.9817216955125,5,348.5313895062519,4.208413,-0.011126638,-4.2181177,20000,1.1410797,1000,1000.0,1000,20,0.0,1860.4664087626152,1599.9726703929482,1099.1326591670513,20,192.4263233677463,851.0,158.49996614456177,20000.0,42.0,6664.396544456482,840000.0,126.1829922522429,840000.0
5.639396e-08,-2.3563557e-11,2674.5708,0.0036600048,4.747153e-10,0.017736565,12.488862,17.296822,17.28478,1.820043,137.2744,51.075047,137.0754,1.0,-0.07670385,-1.0,5000,0.8701627,1000,1000.0,1000,5,0.0,2099.354220858775,1700.1541677198372,1410.146324366331,5,319.33871100660906,4.041181,-0.11244548,-4.6014776,20000,1.139658,1000,1000.0,1000,20,0.0,1765.5865518711507,1427.7999777161924,1189.9692879943177,20,188.81582811681088,871.0,159.43092608451843,20000.0,43.0,6823.988623380661,860000.0,125.44617591569083,860000.0
2.5406067,-0.014181076,2584.7605,0.0019845958,0.034505934,0.018693488,12.483906,17.290691,17.278126,1.816231,138.08475,41.284904,137.90485,1.0,0.0008358131,-1.0,5000,0.881312,1000,1000.0,1000,5,0.0,2152.0422251131386,2001.580955332704,1549.95150561817,5,228.61971187972014,4.078034,-0.09378973,-4.097402,20000,1.1450269,1000,1000.0,1000,20,0.0,1775.3929165154696,1469.2802627861179,1138.4921416342258,20,219.20784930666628,891.0,158.55627012252808,20000.0,44.0,6982.7056674957275,880000.0,126.13818415723661,880000.0
10.396477,-0.03348343,2540.4187,0.0010844036,0.116655245,0.019238945,12.470957,17.281502,17.26988,1.8447504,138.72266,45.451614,138.59471,1.0,-0.019890072,-1.0,5000,0.87991273,1000,1000.0,1000,5,0.0,2166.041702510789,1999.181421886012,1497.0306042283773,5,254.54519539500947,4.1940165,-0.05365108,-4.3447523,20000,1.1443125,1000,1000.0,1000,20,0.0,1833.224124261178,1622.6782420263567,1259.4470707345754,20,195.89001774045613,911.0,158.6368854045868,20000.0,45.0,7141.503884792328,900000.0,126.07408389916438,900000.0
