actor/backtrack_steps,actor/kl,actor/loss,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
1.0,0.007696194,-0.042244922,80.0,1.2045043,79.01573,2.9501762,0.004505478,-3.4663744,5000,0.691905,1000,1000.0,1000,5,0.0,861.0357453972101,799.5239354461431,749.3337036669254,5,36.94364217009578,2.9935353,0.019774541,-3.6067345,20000,0.6963776,1000,1000.0,1000,20,0.0,878.7056704238057,800.2041583056329,735.9011041074991,20,42.22007512872234,449.0,67.94582653045654,20000.0,21.0,1430.2920563220978,420000.0,294.3521481931646,420000.0
1.0,0.007480686,-0.04029634,80.0,1.2114491,78.76647,2.9011755,-0.013093344,-3.0072722,5000,0.69002366,1000,1000.0,1000,5,0.0,880.6101874560118,844.4882817089558,799.7540218830109,5,32.517488639885585,3.0940049,0.017422497,-3.4154856,20000,0.69767755,1000,1000.0,1000,20,0.0,857.1184658929706,785.651496206416,707.3591428510845,20,38.371939710852516,469.0,67.47099900245667,20000.0,22.0,1497.8129742145538,440000.0,296.42365306124765,440000.0
1.0,0.008050121,-0.043297507,80.0,1.2087349,81.91943,2.7574174,-0.0018825065,-3.1567616,5000,0.685129,1000,1000.0,1000,5,0.0,882.3858363032341,824.6191204929725,802.0733665497974,5,29.749711138278574,3.3188655,0.030118847,-3.4394314,20000,0.6815939,1000,1000.0,1000,20,0.0,878.6571582481265,819.3133332851809,733.3640213217586,20,42.120608472898255,489.0,67.24181056022644,20000.0,23.0,1565.1046543121338,460000.0,297.43398985496697,460000.0
1.0,0.007868049,-0.040113058,80.0,1.0576599,81.90158,2.5633075,0.013429941,-3.353401,5000,0.6734021,1000,1000.0,1000,5,0.0,893.331026032567,823.7058301769197,767.7482908070087,5,41.202449049865706,2.8121357,0.029187342,-3.331917,20000,0.67323923,1000,1000.0,1000,20,0.0,893.6105161160231,811.8698767920025,735.3696470856667,20,44.195964709364574,509.0,66.8212616443634,20000.0,24.0,1631.9749472141266,480000.0,299.30593209155705,480000.0
1.0,0.007819159,-0.043397494,80.0,0.90854394,81.22503,2.9840171,0.076716214,-2.7282562,5000,0.658386,1000,1000.0,1000,5,0.0,859.0972838401794,794.3693715977715,737.9926916658878,5,48.22638653982347,3.2341201,0.038773697,-2.9801834,20000,0.6736616,1000,1000.0,1000,20,0.0,893.6073116790503,813.933183791209,760.7675646692514,20,39.65954131635323,529.0,67.19554257392883,20000.0,25.0,1699.2197649478912,500000.0,297.63879022177565,500000.0
1.0,0.007810974,-0.040112626,80.0,0.79733115,83.86315,2.7922869,0.030254714,-2.6471882,5000,0.6366946,1000,1000.0,1000,5,0.0,916.5965144485235,845.7525527231395,774.4596183598042,5,60.25571215277137,2.9270759,0.028249795,-3.3752892,20000,0.663593,1000,1000.0,1000,20,0.0,911.9634879529476,830.1357324035773,749.8778599947691,20,45.35778943502692,549.0,66.83546686172485,20000.0,26.0,1766.1043691635132,520000.0,299.2423175763517,520000.0
1.0,0.008020125,-0.04587152,80.0,0.7919124,82.37468,2.5090935,0.012641558,-2.653256,5000,0.6287895,1000,1000.0,1000,5,0.0,919.6252319565974,862.9456677994691,803.8539585918188,5,43.225080677449085,2.8324041,0.05039152,-2.858467,20000,0.63955116,1000,1000.0,1000,20,0.0,929.5490143746138,836.3414449897595,742.4481962174177,20,49.69895683189741,569.0,67.59050846099854,20000.0,27.0,1833.7433280944824,540000.0,295.8995346445798,540000.0
1.0,0.008023074,-0.048647873,80.0,0.58823717,87.60344,3.1312563,0.03683284,-2.6514413,5000,0.6369531,1000,1000.0,1000,5,0.0,935.3470156341791,897.4626735396683,851.9860420934856,5,29.55380663484322,2.870714,0.045300562,-3.1030207,20000,0.6288933,1000,1000.0,1000,20,0.0,930.3419311493635,870.574203421548,793.8555466458201,20,44.77826152472713,589.0,66.75216102600098,20000.0,28.0,1900.54456949234,560000.0,299.61576812786177,560000.0
1.0,0.007955043,-0.045099117,80.0,0.53973156,87.165955,2.3032036,0.0055302847,-2.290204,5000,0.5934952,1000,1000.0,1000,5,0.0,875.8454232662916,841.0012134984136,780.4469926580787,5,33.38210093886467,2.5522223,0.03428531,-2.8387122,20000,0.6196942,1000,1000.0,1000,20,0.0,934.5553871542215,885.1786632722709,807.2125940471888,20,40.69933949694433,609.0,66.84128665924072,20000.0,29.0,1967.4344470500946,580000.0,299.2162628759784,580000.0
1.0,0.0079779755,-0.04602335,80.0,0.49627373,88.9829,2.5409627,0.008250618,-3.0383124,5000,0.6145242,1000,1000.0,1000,5,0.0,928.6646593883634,910.9706605065614,879.5689659882337,5,16.60188170144873,2.7048843,0.018228028,-2.6792703,20000,0.6219754,1000,1000.0,1000,20,0.0,944.0675371140242,890.7760273719207,839.4010101109743,20,29.061669858302224,629.0,67.39725589752197,20000.0,30.0,2034.8805232048035,600000.0,296.7479867490473,600000.0
