actor/entropy,actor/kl,actor/loss,actor/std,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
8.386215,-2.2747553e-08,-0.045306176,0.69028234,2.0555947,59.952515,3.2043693,0.09108878,-2.8031728,5000,0.7285133,1000,1000.0,1000,5,0.0,622.211541974917,605.5292718098033,564.166760948021,5,21.593585036764328,3.1302729,0.0889797,-3.4921873,20000,0.73333156,1000,997.05,941,20,12.858751883444988,694.8718919828534,618.1544147253007,553.3226390071213,20,40.2945338138744,504.0,63.56922507286072,20000.0,21.0,1312.669272184372,420000.0,314.6176467791881,420000.0
8.382937,4.116446e-08,-0.04969284,0.69000006,1.8689378,61.185863,3.0728617,0.07232831,-2.997011,5000,0.7385108,1000,1000.0,1000,5,0.0,635.7315844197292,617.0919200406613,573.7823887951672,5,23.659271512202572,3.1574767,0.090844266,-2.8649023,20000,0.7362932,1000,951.8571428571429,413,21,150.50274027383014,675.9699990581721,589.2149217813442,214.5404541878961,21,112.3325781806672,525.0,63.84358477592468,20000.0,22.0,1376.5651206970215,440000.0,313.26561737087746,440000.0
8.379163,-5.075708e-09,-0.040617753,0.689675,2.295764,61.084312,3.6272624,0.1006346,-2.8689957,5000,0.7363318,1000,1000.0,1000,5,0.0,697.8662177398801,640.6565353319049,606.410785427317,5,31.31664712613422,3.694697,0.10254637,-2.9556134,20000,0.7318658,1000,1000.0,1000,20,0.0,703.2610783204436,610.3317950094352,451.6915139267221,20,52.845975492184216,545.0,63.86427092552185,20000.0,23.0,1440.4828000068665,460000.0,313.16414812476114,460000.0
8.375384,-1.0523945e-08,-0.050697815,0.6893497,1.988835,62.644844,3.0125215,0.09659992,-2.7847416,5000,0.7433854,1000,1000.0,1000,5,0.0,688.5722485392762,627.4266212354123,564.4990257658064,5,41.013840595545574,3.639219,0.08547388,-3.008821,20000,0.7355738,1000,1000.0,1000,20,0.0,688.5132820382714,635.1192545630547,539.3334300667048,20,38.51238263387643,565.0,63.620532274246216,20000.0,24.0,1504.1627342700958,480000.0,314.3639212854568,480000.0
8.371431,2.507586e-08,-0.059141386,0.68900937,2.274651,62.71238,3.10102,0.068482,-2.8006124,4746,0.73579174,1000,949.2,746,5,101.6,685.7346141440794,613.968558349763,447.9260247281054,5,87.12391181501437,4.183419,0.07710166,-3.0834725,20000,0.73821,1000,1000.0,1000,20,0.0,700.4284297265112,625.3369600338222,504.00050485227257,20,43.66318759174316,585.0,63.796233892440796,20000.0,25.0,1568.0092420578003,500000.0,313.4981295873924,500000.0
8.367474,6.4319465e-09,-0.049328275,0.6886687,2.5135546,65.51885,2.917064,0.07922588,-3.480011,5000,0.73695743,1000,1000.0,1000,5,0.0,679.0419306068216,633.5583641490433,594.4660925222561,5,27.104465668846323,3.2444797,0.06964592,-3.2053735,20000,0.7398885,1000,1000.0,1000,20,0.0,725.2089571300894,640.3528081134806,565.8038734947331,20,44.48489768166272,605.0,63.62935423851013,20000.0,26.0,1631.690979719162,520000.0,314.32033594166955,520000.0
8.363362,1.3667159e-08,-0.038554214,0.6883152,2.1369271,62.893867,3.7849686,0.08890056,-2.906015,5000,0.7499471,1000,1000.0,1000,5,0.0,692.3678969065659,655.2696963555151,636.3804390057921,5,21.884766737034706,3.4838588,0.0942745,-3.1883583,20000,0.73746204,1000,1000.0,1000,20,0.0,698.7921255975962,633.106447390595,550.8056926764548,20,43.786956650671435,625.0,63.65908145904541,20000.0,27.0,1695.4002714157104,540000.0,314.173556099248,540000.0
8.359388,-2.5588088e-08,-0.028236281,0.6879738,1.954072,63.123463,3.0172732,0.084060974,-2.9906058,5000,0.7446073,1000,1000.0,1000,5,0.0,683.9947080276906,627.9403858382254,575.570690815337,5,42.90386583815195,3.3890982,0.0858117,-3.157635,20000,0.7404011,1000,968.7142857142857,343,21,139.91396773498684,666.4468324929476,598.4511285420934,193.45515193790197,21,96.49418403916225,646.0,63.43884015083313,20000.0,28.0,1758.8904926776886,560000.0,315.26427583555596,560000.0
8.355749,1.7415733e-08,-0.05881644,0.6876613,2.1244853,63.051834,2.9711957,0.07080861,-3.2120123,5000,0.7452528,1000,1000.0,1000,5,0.0,738.1971298418939,652.6334848915197,579.9038714822382,5,59.889179056344325,3.3066816,0.09454396,-2.9827285,20000,0.7380899,1000,1000.0,1000,20,0.0,732.579318900127,633.6553155092828,542.679748352617,20,47.802498244933375,666.0,63.41867733001709,20000.0,29.0,1822.3592450618744,580000.0,315.3645084069528,580000.0
8.351811,-1.8882565e-08,-0.038115952,0.6873232,2.3848193,61.68703,3.1892242,0.09522146,-2.8774242,5000,0.7431416,1000,1000.0,1000,5,0.0,686.7850555740297,636.7334061159752,601.0252786315978,5,32.092226681603826,3.4353247,0.09092594,-3.3888953,20000,0.7415802,1000,1000.0,1000,20,0.0,683.0923916529864,611.5344776467776,501.5315276570618,20,46.173601983408744,686.0,63.63512587547302,20000.0,30.0,1886.0450303554535,600000.0,314.29182742779216,600000.0
